applist,cri,cric,cricbuzz,cricguru,crick,cricke,cricket,GETX,goog,grt,jntuk,joke,jokes,lovestory,message,monitor,news,omegle,score,scr,smsbox,smsfun,t20,TA2012011107,triv,VTU,vturesult,wikipedia,word
8,193,78,115,0,2,0,178,0,931,3,1,0,615,25,23,0,41,117,3,0,428,47,0,0,264,1,0,511,180
2,15,0,4096,0,1,2,4934,0,1,0,1,0,0,6,9,0,121,0,21,1,7,1,3,0,0,0,4,1,3
21,1,290,110,0,0,0,353,0,3,0,0,13,1288,4,40,0,1,11,0,0,1819,7,0,0,3,0,0,5,0
0,427,0,21,0,0,1,3622,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,509,5,33,0,0,0,3520,0,0,0,0,0,0,0,0,0,0,0,6,0,7,1,2,0,0,0,0,0,0
1,1920,3,100,0,0,0,1594,0,0,0,0,0,5,2,0,0,7,0,875,0,3,0,136,0,0,0,0,0,0
0,2039,0,89,0,0,1,1514,0,0,0,0,4,124,2,19,0,18,17,43,0,256,1,0,0,0,181,90,0,1
0,1,15,726,0,0,0,463,0,514,6,0,0,1401,0,89,0,22,0,2,0,14,0,2,0,0,0,20,146,27
0,774,4,20,0,976,34,1916,0,0,0,0,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,6121,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
20,4,0,399,2,0,0,71,165,34,3,0,5,4616,59,71,0,12,10,0,0,1704,33,3,7,3,0,0,3,4
0,3359,180,7,0,0,0,1898,0,0,0,0,0,2,6,0,0,0,0,472,0,0,0,0,0,0,1,0,0,0
80,37,39,1584,0,1,1,1678,0,8,0,0,14,9,10,31,0,68,0,285,2,24,6,11,0,0,0,0,580,3
0,4,0,4886,0,0,0,3470,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1306,35,827,147,0,0,953,0,1,13,1,1,11,1,1,0,376,2,187,1,3,1,498,0,1608,0,4,6,3
0,2,0,177,0,0,57,3857,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0
84,221,15,683,118,0,0,92,0,190,0,2,44,818,6,94,0,50,1,0,0,1012,22,60,3,9,0,2,17,11
2,0,0,2,0,0,0,92,0,3,0,0,2,561,14,57,0,20,6629,9,0,275,7,0,715,0,0,1,270,66
0,183,284,1255,32,3,2,1085,0,7,2,0,14,194,4,3,0,83,1,32,1371,0,0,21,0,8,0,0,2,2
27,48,0,5,0,0,0,203,0,3,333,3,63,746,93,109,0,1,5,8,2,46,39,0,2603,0,0,0,4,0
5,1762,7,172,20,0,0,2308,0,0,0,4,7,155,32,18,0,14,11,3,0,628,39,542,0,18,0,3,3,0
38,0,1,0,0,0,0,65,6,1309,3,0,0,404,0,26,0,19,2,2,0,231,9,0,0,1,96,177,1286,115
1,195,69,1593,0,0,2,1928,0,0,0,0,205,3077,137,96,0,77,1,40,0,8032,85,0,0,0,0,2,14,8
7,0,0,0,0,0,0,2,0,526,0,0,0,39,37,0,0,4,0,0,0,12,1,0,0,0,9,24,3994,0
5,1050,23,1940,2,70,8,1393,0,0,0,0,34,255,3,11,0,384,0,10,387,1,0,284,3,0,0,0,9,3
0,3042,0,4,1,0,0,4676,0,0,0,0,0,6,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0
2,2,0,65,1,0,0,17,0,0,229,1,17,1321,89,20,0,44,1,2,0,2367,29,6,4,1,0,0,0,1
3,1477,42,623,1,0,2,756,0,10,3,0,3,26,6,30,0,13,0,40,0,295,0,0,0,0,0,0,70,7
1,20,1,2198,82,0,0,971,0,0,60,2,13,55,6,24,0,6,1,3,0,351,0,51,0,0,0,0,0,2
19,7,0,4,12,0,0,6,11,7,1871,5,4,2643,22,12,0,1,1,0,0,8887,11,5,565,1,0,5,12,0
0,267,23,4387,0,675,86,173,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,38,0,0,0,0,0,0
0,642,0,21,0,0,1,5277,0,0,0,0,0,2,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
0,1421,0,34,0,0,1,2447,0,0,0,0,0,1,0,2,0,2,0,1,0,2,0,1,0,0,0,0,0,0
0,649,0,232,3,0,2,1248,0,0,0,0,3,19,0,4,0,0,1,4,0,2452,3,113,2,0,0,0,0,1
0,5516,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,149,0,0,92,5080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2052,0,2,0,0,3,3290,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,41,218,2578,6,0,0,1265,7,1188,1,2,0,55,8,34,1,61,6,27,4,7,14,128,20,5,3,1,52,15
0,621,13,28,0,2,3,5166,0,0,0,0,1,1,0,0,0,28,0,15,0,0,1,109,0,0,0,0,14,0
0,284,182,2763,3,1,0,377,0,1,0,1,6,155,6,53,0,2,3,127,0,3622,22,129,0,0,0,1,0,4
0,2618,576,389,1,5,172,2238,0,59,0,2,0,110,6,14,0,10,15,107,2,21,0,0,1,0,0,1,6,0
6,6,19,675,0,0,2,1087,0,4,58,4,90,1940,8,50,0,25,4,14,1,1415,42,37,6,0,0,1,13,0
16,49,85,4715,2,0,0,2439,6,7,3,10,16,160,13,18,0,16,4,344,1,9,6,8,378,6,28,11,5,0
1,783,1,10,2,0,0,958,0,5,4,9,1,578,2,26,0,287,2,9,0,112,0,4,0,0,0,2,0,0
0,2,0,7361,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0
0,1532,0,0,0,0,0,3931,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,490,0,0,0,0,0,0
33,5,3,43,0,0,0,675,573,2,0,1,11,1758,12,52,0,13,0,7,0,371,83,0,775,0,0,0,10,24
